"aeropuerto","ciudad","anho","mes","pasajeros"
BAR,San Carlos de Bariloche,2021,1,48693
BAR,San Carlos de Bariloche,2021,2,46011
BAR,San Carlos de Bariloche,2021,3,41665
BAR,San Carlos de Bariloche,2021,4,29079
BAR,San Carlos de Bariloche,2021,5,10751
BAR,San Carlos de Bariloche,2021,6,13419
BAR,San Carlos de Bariloche,2021,7,43857
BAR,San Carlos de Bariloche,2021,8,56448
BAR,San Carlos de Bariloche,2021,9,57508
BAR,San Carlos de Bariloche,2021,10,60182
BAR,San Carlos de Bariloche,2021,11,74462
BAR,San Carlos de Bariloche,2021,12,76788
BAR,San Carlos de Bariloche,2022,1,90252
BAR,San Carlos de Bariloche,2022,2,85185
BAR,San Carlos de Bariloche,2022,3,76145
BAR,San Carlos de Bariloche,2022,4,28517
BAR,San Carlos de Bariloche,2022,5,27148
BAR,San Carlos de Bariloche,2022,6,31173
CBA,Córdoba,2021,1,23030
CBA,Córdoba,2021,2,21668
CBA,Córdoba,2021,3,25831
CBA,Córdoba,2021,4,19090
CBA,Córdoba,2021,5,13423
CBA,Córdoba,2021,6,11581
CBA,Córdoba,2021,7,23279
CBA,Córdoba,2021,8,28544
CBA,Córdoba,2021,9,32598
CBA,Córdoba,2021,10,44263
CBA,Córdoba,2021,11,51330
CBA,Córdoba,2021,12,52027
CBA,Córdoba,2022,1,60056
CBA,Córdoba,2022,2,61549
CBA,Córdoba,2022,3,65882
CBA,Córdoba,2022,4,34820
CBA,Córdoba,2022,5,37315
CBA,Córdoba,2022,6,40656
DOZ,Mendoza,2021,1,21763
DOZ,Mendoza,2021,2,21433
DOZ,Mendoza,2021,3,26521
DOZ,Mendoza,2021,4,19633
DOZ,Mendoza,2021,5,11262
DOZ,Mendoza,2021,6,10572
DOZ,Mendoza,2021,7,19644
DOZ,Mendoza,2021,8,25411
DOZ,Mendoza,2021,9,30068
DOZ,Mendoza,2021,10,37540
DOZ,Mendoza,2021,11,48691
DOZ,Mendoza,2021,12,48692
DOZ,Mendoza,2022,1,45246
DOZ,Mendoza,2022,2,48391
DOZ,Mendoza,2022,3,58188
DOZ,Mendoza,2022,4,28090
DOZ,Mendoza,2022,5,26028
DOZ,Mendoza,2022,6,27784
ECA,El Calafate,2021,1,12353
ECA,El Calafate,2021,2,14534
ECA,El Calafate,2021,3,17131
ECA,El Calafate,2021,4,10013
